,HFCS,Femmes,Hommes,YM
0,-1.923630918919805,-1.2464549128060027,0.05375886344569193,2023-02
1,-1.8327021974613722,-1.2464549128060027,0.05375886344569193,2023-01
2,-1.923630918919805,-1.2464549128060027,0.05375886344569193,2022-12
3,-1.7417734760029393,-1.2112369222748818,0.0682140245055334,2022-11
4,-1.8327021974613722,-1.1760189317437608,0.08266918556537489,2022-10
5,-2.1054883618366707,-1.1408009412126396,0.09712434662521637,2022-09
6,-1.8327021974613722,-1.1231919459470792,0.09712434662521637,2022-08
7,-2.1054883618366707,-1.1055829506815182,0.09712434662521637,2022-07
8,-1.8327021974613722,-1.0879739554159575,0.09712434662521637,2022-06
9,-1.5599160330860737,-1.070364960150397,0.08266918556537489,2022-05
10,-1.378058590169208,-1.0527559648848366,0.0682140245055334,2022-04
11,-1.1962011472523424,-1.035146969619276,0.05375886344569193,2022-03
12,-0.5597000970433127,-1.035146969619276,0.08266918556537489,2022-02
13,-0.46877137558487986,-1.035146969619276,0.11157950768505784,2022-01
14,-0.377842654126447,-1.035146969619276,0.14048982980474078,2021-12
15,-0.46877137558487986,-0.8942750074947914,0.1838553129842656,2021-11
16,-0.377842654126447,-0.7534030453703068,0.22722079616379004,2021-10
17,-0.10505648975114855,-0.6125310832458222,0.27058627934331486,2021-09
18,-0.377842654126447,-0.6477490737769431,0.2850414404031563,2021-08
19,-0.10505648975114855,-0.6829670643080642,0.2994966014629978,2021-07
20,0.0768009531657171,-0.7181850548391853,0.3139517625228393,2021-06
21,-0.46877137558487986,-0.7357940501047457,0.38622756782204665,2021-05
22,-0.6506288185017455,-0.7534030453703068,0.45850337312125483,2021-04
23,-0.7415575399601783,-0.7710120406358673,0.5307791784204622,2021-03
24,-1.0143437043354768,-0.7357940501047463,0.48741369524093775,2021-02
25,-1.0143437043354768,-0.7005760595736248,0.44404821206141254,2021-01
26,-0.7415575399601783,-0.6653580690425037,0.40068272888188816,2020-12
27,-1.2871298687107753,-0.48926811638689754,0.5163240173606207,2020-11
28,-0.8324862614186112,-0.3131781637312923,0.6319653058393525,2020-10
29,-0.8324862614186112,-0.13708821107568614,0.7476065943180851,2020-09
30,-0.8324862614186112,-0.5244861069180196,0.5163240173606207,2020-08
31,-0.9234149828770439,-0.911884002760352,0.2850414404031563,2020-07
32,-0.6506288185017455,-1.2992818986026848,0.05375886344569193,2020-06
33,-1.1052724257939095,-1.0879739554159575,0.11157950768505784,2020-05
34,-0.8324862614186112,-0.8766660122292309,0.16940015192442412,2020-04
35,0.0768009531657171,-0.6653580690425037,0.22722079616379004,2020-03
36,0.16772967462414992,-0.6477490737769431,0.2994966014629978,2020-02
37,0.0768009531657171,-0.6301400785113827,0.3717724067622052,2020-01
38,-0.014127768292715726,-0.6125310832458222,0.4440482120614133,2019-12
39,0.25865839608258273,-0.5773130927147011,0.45850337312125483,2019-11
40,0.16772967462414992,-0.5420951021835791,0.4729585341810963,2019-10
41,0.0768009531657171,-0.5068771116524581,0.48741369524093775,2019-09
42,-0.014127768292715726,-0.48926811638689754,0.5018688563007793,2019-08
43,-0.10505648975114855,-0.471659121121337,0.5163240173606207,2019-07
44,-0.19598521120958137,-0.4540501258557765,0.5307791784204622,2019-06
45,-0.377842654126447,-0.40122314005909493,0.5741446615999867,2019-05
46,-0.46877137558487986,-0.3483961542624134,0.6175101447795118,2019-04
47,-0.5597000970433127,-0.2955691684657318,0.6608756279590362,2019-03
48,-0.6506288185017455,-0.26035117793461077,0.6464204668991947,2019-02
49,-0.9234149828770439,-0.22513318740348875,0.6319653058393525,2019-01
50,-1.378058590169208,-0.18991519687236771,0.617510144779511,2018-12
51,-1.0143437043354768,-0.18991519687236771,0.6608756279590354,2018-11
52,-0.6506288185017455,-0.18991519687236771,0.7042411111385607,2018-10
53,-0.8324862614186112,-0.18991519687236771,0.7476065943180851,2018-09
54,-0.5597000970433127,-0.15469720634124667,0.7620617553779265,2018-08
55,-0.5597000970433127,-0.11947921581012563,0.7765169164377681,2018-07
56,-0.5597000970433127,-0.08426122527900458,0.7909720774976096,2018-06
57,-0.2869139326680142,-0.04904323474788354,0.805427238557451,2018-05
58,-0.10505648975114855,-0.013825244216761555,0.8198823996172925,2018-04
59,-0.10505648975114855,0.021392746314359487,0.8343375606771339,2018-03
60,-0.19598521120958137,-0.0490432347478826,0.8198823996172925,2018-02
61,0.25865839608258273,-0.11947921581012563,0.805427238557451,2018-01
62,0.34958711754101557,-0.18991519687236771,0.7909720774976096,2017-12
63,0.0768009531657171,-0.10187022054456511,0.8487927217369754,2017-11
64,-0.19598521120958137,-0.013825244216761555,0.9066133659763421,2017-10
65,-0.10505648975114855,0.07421973211104106,0.9644340102157081,2017-09
66,0.0768009531657171,0.09182872737660158,0.9788891712755495,2017-08
67,0.0768009531657171,0.1094377226421621,0.993344332335391,2017-07
68,0.4405158389994484,0.12704671790772262,1.0077994933952323,2017-06
69,-0.10505648975114855,0.16226470843884366,1.0077994933952323,2017-05
70,-0.19598521120958137,0.1974826989699647,1.0077994933952323,2017-04
71,-0.10505648975114855,0.23270068950108574,1.0077994933952323,2017-03
72,-0.10505648975114855,0.2679186800322068,1.0945304597542813,2017-02
73,-0.19598521120958137,0.30313667056332877,1.181261426113331,2017-01
74,-0.2869139326680142,0.33835466109444984,1.2679923924723797,2016-12
75,-0.2869139326680142,0.35596365636001037,1.2101717482330139,2016-11
76,-0.377842654126447,0.37357265162557085,1.152351103993648,2016-10
77,-0.46877137558487986,0.3911816468911314,1.094530459754282,2016-09
78,-0.5597000970433127,0.35596365636001037,1.1668062650534894,2016-08
79,-0.6506288185017455,0.3207456658288893,1.2390820703526977,2016-07
80,-0.5597000970433127,0.28552767529776824,1.311357875651905,2016-06
81,-0.377842654126447,0.26791868003220776,1.369178519891271,2016-05
82,-0.7415575399601783,0.2503096847666463,1.4269991641306368,2016-04
83,-0.7415575399601783,0.23270068950108574,1.4848198083700026,2016-03
84,-0.6506288185017455,0.2503096847666463,1.4848198083700026,2016-02
85,-0.46877137558487986,0.26791868003220776,1.4848198083700026,2016-01
86,-0.5597000970433127,0.28552767529776824,1.4848198083700026,2015-12
87,-0.5597000970433127,0.30313667056332877,1.4992749694298442,2015-11
88,-0.5597000970433127,0.3207456658288893,1.5137301304896864,2015-10
89,-0.46877137558487986,0.33835466109444984,1.528185291549528,2015-09
90,-0.8324862614186112,0.35596365636001037,1.557095613669211,2015-08
91,-0.9234149828770439,0.37357265162557085,1.5860059357888938,2015-07
92,-0.8324862614186112,0.3911816468911314,1.6149162579085767,2015-06
93,-0.8324862614186112,0.35596365636001037,1.5715507747290522,2015-05
94,-0.7415575399601783,0.3207456658288893,1.528185291549527,2015-04
95,-0.7415575399601783,0.28552767529776824,1.4848198083700026,2015-03
96,-0.9234149828770439,0.33835466109444984,1.4992749694298442,2015-02
97,-1.1962011472523424,0.3911816468911314,1.5137301304896864,2015-01
98,-1.1962011472523424,0.444008632687813,1.528185291549528,2014-12
99,-1.378058590169208,0.444008632687813,1.4848198083700035,2014-11
100,-1.5599160330860737,0.444008632687813,1.4414543251904783,2014-10
101,-1.5599160330860737,0.444008632687813,1.3980888420109538,2014-09
102,-1.4689873116276408,0.4087906421566919,1.3836336809511123,2014-08
103,-1.4689873116276408,0.37357265162557085,1.369178519891271,2014-07
104,-1.5599160330860737,0.33835466109444984,1.3547233588314294,2014-06
105,-1.5599160330860737,0.3207456658288893,1.369178519891271,2014-05
106,-1.5599160330860737,0.30313667056332877,1.3836336809511123,2014-04
107,-1.378058590169208,0.28552767529776824,1.3980888420109538,2014-03
108,-1.6508447545445066,0.33835466109444984,1.3547233588314294,2014-02
109,-1.5599160330860737,0.3911816468911314,1.3113578756519042,2014-01
110,-1.6508447545445066,0.444008632687813,1.2679923924723797,2013-12
111,-1.6508447545445066,0.444008632687813,1.2969027145920626,2013-11
112,-1.4689873116276408,0.444008632687813,1.3258130367117464,2013-10
113,-1.5599160330860737,0.444008632687813,1.3547233588314294,2013-09
114,-1.6508447545445066,0.479226623218934,1.3836336809511123,2013-08
115,-1.8327021974613722,0.514444613750056,1.4125440030707954,2013-07
116,-2.1964170832951035,0.5496626042811771,1.4414543251904783,2013-06
117,-2.1054883618366707,0.5320536090156165,1.4269991641306368,2013-05
118,-1.8327021974613722,0.514444613750055,1.4125440030707954,2013-04
119,-1.8327021974613722,0.49683561848449453,1.3980888420109538,2013-03
120,-1.6508447545445066,0.479226623218934,1.3547233588314294,2013-02
121,-1.6508447545445066,0.46161762795337347,1.3113578756519042,2013-01
122,-1.5599160330860737,0.444008632687813,1.2679923924723797,2012-12
